formulae,charges
['C47H82N7O17P3S'],[-4]
['C30H49O7P2'],[-3]
"['C27H40N7O20P3S', 'C27H39N7O20P3S']",[-5]
['C5H12O'],[0]
['C6H12O2'],[0]
['C4H10O'],[0]
['C10H9NO'],[0]
['C10H8NO2'],[-1]
['C10H11NO'],[0]
['C11H8NO3'],"[0, -1]"
['C4800H9500N100O1200P100'],[-100]
['C4800H9500N100O1300P100'],[-100]
['C5H9O7P2'],[-3]
['C1697H2999O101'],[0]
['C6H13NO2'],[0]
['C6H13NO2'],[0]
['C6H15N2O2'],"[0, 1]"
['C6H15N2O2'],"[0, 1]"
"['C3H2O3X', 'C3H2O3RS', 'C387H604O145N96P1S3', 'C3H2O3SR', 'C14H22N2O10PRS']","[0, -2, -1]"
"['C24H33N7O19P3S', 'C24H34N7O19P3S']","[0, -5]"
['C12H21O14P1'],[-2]
"['C20H32NO17P2SR3', 'C5H11NOSR', 'C5H10NOSR', 'C5H11NO2SX']","[1, -2]"
"['C25H34N8O12', 'C30H35N9O12', 'C25H36N8O12']","[0, -4, -2]"
['C6H8O18P4'],[-8]
['C6000H11500N100O2400P200'],[-200]
['C6200H11900N100O2500P200'],[-200]
['C6H4NO2'],[-1]
['C21H26N7O14P2'],"[0, -1]"
['C21H26N7O14P2'],"[0, -1]"
['C21H25N7O17P3'],"[0, -3]"
['C6H6N2O'],[0]
"['H4N', 'NH4']",[1]
['O2'],[0]
['C4H2O5'],[-2]
"['C18H35OSR', 'C402H637O143N96P1S3', 'C29H55N2O8PRS']","[0, -1]"
['C29H51N2O8PRS'],[-1]
['C18H31O2'],[-1]
['C39H64N7O17P3S'],[-4]
['C5H13N2O2'],[1]
['C7H5O7'],[-3]
['C3540H6544O800P100'],[-200]
['C8H8O'],[0]
['C10H11N5O10P2'],"[0, -4]"
['C3740H7244N100O800P100'],[0]
"['C34H32FeN4O4', 'C34FeH30N4O4', 'C34H30FeN4O4']","[0, -2, -1]"
"['H1O4P', 'HPO4', 'HO4P']","[0, -2]"
"['H1O4P', 'HPO4', 'HO4P']","[0, -2]"
['C24H36N7O17P3S'],[-4]
"['P2HO7', 'H1O7P2', 'HO7P2']",[-3]
['C6H6O27P7'],[-13]
['C4140H7444O1900P300'],[-500]
['C4140H7444O1900P300'],[-500]
['C4140H7544O1600P200'],[-300]
['C11H19N2O6'],[-1]
['C6H14O6'],[0]
['C12H22O11'],[0]
['C19H21N7O6'],[-2]
"['C24H28N8O9', 'C24H27N8O9']",[-3]
['C12H16N4O7P2S'],"[0, -2]"
"['C10H17O10PR2', 'HOX', 'HR', 'C15H23O16P2R3']","[0, -2]"
"['HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
"['C15H23O16P2R3', 'HOX', 'HR', 'R', 'C15H21N5O10PR']","[0, -2]"
"['HOX', 'HR', 'R', 'C15H23O16P2R3']","[0, -2]"
"['C11H11N2OR', 'C26H33N2O17P2R3', 'C11H12N2OR']","[1, -2]"
['C14H25O2'],[-1]
['C15H22N2O17P2'],[-2]
['C5H12O5'],[0]
['C28H44O3'],[0]
['C1694H2993O101'],[0]
['C47H70O3'],[0]
['C13H25NO2S2'],[0]
['C21H39N7O12'],[-3]
['C11H18NO8'],[-1]
['C9H8NO3'],"[0, -1]"
['C3822H7096O850P100'],[-100]
['C3270H6330O434P100'],[-100]
['H2S2X'],[0]
['C17H31O2'],[-1]
['C17H33O2'],[-1]
['C19H37O2'],[-1]
['C15H29O2'],[-1]
"['FeS', 'Fe2S2', 'R', 'X', 'Fe8S8X']","[0, 3, 6]"
"['C6H8N2O4', 'C6H9N2O4']","[0, -2, -1]"
['C4H2O4'],[-2]
['C1710H3315N50O242P50'],[-50]
['C1936H3598N50O450P50'],[-50]
['C1860H3715N100O242P50'],[0]
['C3H4O7P'],[-3]
['C25H45N6O8'],[1]
['C16H28N2O11'],[0]
['C8H13N3O4'],[0]
['C8H13N3O4'],[0]
['C3H6NO5S2'],"[0, -1]"
['C3H2O6P'],[-3]
['C6H11O7'],"[0, -1]"
['C6H5O7'],[-3]
['C25H45FeN6O8'],[1]
['C3H4O7P'],[-3]
['C4H2O5'],[-2]
"['C30H29N3O16', 'C30H28N3O16']","[0, -1]"
['C4H2N2O3'],[0]
['C6H12O6'],[0]
"['C11H14N2O5', 'C11H15N2O5']",[1]
"['C42H38N4O16Co', 'C42H39CoN4O16']","[-8, -7]"
